"","subject","how_MA","how_MO","how_MS","where_MA","where_MO","where_MS","who_MA","who_MO","who_MS"
"1","A10JXOU89D5RXR",0,0,4,0,0,4,0,0,4
"2","A17FGZ1I5P9RZA",4,0,0,4,0,0,4,0,0
"3","A17WS5TP6OPH7R",0,4,0,0,4,0,0,4,0
"4","A18E16UFE351U6",0,4,0,0,4,0,0,4,0
"5","A1CY01G7686ORZ",0,0,4,0,0,4,0,0,4
"6","A1IFF4KV23FGHJ",4,0,0,4,0,0,4,0,0
"7","A1J19UOHNI0UOC",0,4,0,0,4,0,0,4,0
"8","A1KA64FR47O9FS",0,4,0,0,4,0,0,4,0
"9","A1LZNQ6Q5JNTZE",0,4,0,0,4,0,0,4,0
"10","A1O67YS3DU0ZHX",4,0,0,4,0,0,4,0,0
"11","A1TZCSZA0IQ6JB",4,0,0,4,0,0,4,0,0
"12","A1V1JNPU0KOA3X",0,0,4,0,0,4,0,0,4
"13","A1V9G7V6ZYACIR",0,4,0,0,4,0,0,4,0
"14","A1YUK67SL5TWT0",4,0,0,4,0,0,4,0,0
"15","A1Z1O6MMOB3UWW",0,4,0,0,4,0,0,4,0
"16","A20N1NK5X5S88F",0,0,4,0,0,4,0,0,4
"17","A2B227N1NQYS56",4,0,0,4,0,0,4,0,0
"18","A2BF3A9KYSEFPO",0,0,4,0,0,4,0,0,4
"19","A2CWJRAEFZ44HU",0,4,0,0,4,0,0,4,0
"20","A2HOUSKURBF8UA",0,4,0,0,4,0,0,4,0
"21","A2MKXI4KCRRI7Y",4,0,0,4,0,0,4,0,0
"22","A2N8FYNKM133KF",0,4,0,0,4,0,0,4,0
"23","A2NXHJ905WLGAA",0,0,4,0,0,4,0,0,4
"24","A2RVFMCKSSEHDV",0,0,4,0,0,4,0,0,4
"25","A2S3SV1LQTKJ8K",0,4,0,0,4,0,0,4,0
"26","A2TH9DIRISH8FE",4,0,0,4,0,0,4,0,0
"27","A2UBEPT605E8T2",0,0,4,0,0,4,0,0,4
"28","A2XMFTY9WB05U6",0,4,0,0,4,0,0,4,0
"29","A2YKYAZYVWOXBO",4,0,0,4,0,0,4,0,0
"30","A31A4YKVSOYRVS",0,0,4,0,0,4,0,0,4
"31","A320BT7PLIQVZT",0,4,0,0,4,0,0,4,0
"32","A3A82EHCZOQ2CV",0,4,0,0,4,0,0,4,0
"33","A3BXT78QXFC6F3",0,0,4,0,0,4,0,0,4
"34","A3D3NEQ158WUB0",0,4,0,0,4,0,0,4,0
"35","A3EWC3BN8RU33I",4,0,0,4,0,0,4,0,0
"36","A3GWRDHAURRNK6",0,4,0,0,4,0,0,4,0
"37","A3I1W58P6SIV26",4,0,0,4,0,0,4,0,0
"38","A3IDAO8T75VO3Z",0,0,4,0,0,4,0,0,4
"39","A3IEGJT83U746S",0,0,4,0,0,4,0,0,4
"40","A3IRT5NAX14OIT",4,0,0,4,0,0,4,0,0
"41","A3KC385CZNYEG5",4,0,0,4,0,0,4,0,0
"42","A3M877E9CGI09C",0,4,0,0,4,0,0,4,0
"43","A3PIRKF57QSWMS",0,4,0,0,4,0,0,4,0
"44","A3QNCW3LR2AVOV",0,4,0,0,4,0,0,4,0
"45","A3TUCOUVSP9ZGY",0,4,0,0,4,0,0,4,0
"46","A3V8C77FN4FLUA",4,0,0,4,0,0,4,0,0
"47","A3VDG4N48AVYGQ",0,0,4,0,0,4,0,0,4
"48","A6ZAKE3FP8YKY",0,0,4,0,0,4,0,0,4
"49","AAHZCL4LIPCBQ",0,4,0,0,4,0,0,4,0
"50","AB5T5XCK2ZD47",0,0,4,0,0,4,0,0,4
"51","ACON9O9NMFOHE",4,0,0,4,0,0,4,0,0
"52","AH31QLJ57XC8W",4,0,0,4,0,0,4,0,0
"53","AK27D3SD6EZX6",0,0,4,0,0,4,0,0,4
"54","ALQEBL8XKDCWC",0,4,0,0,4,0,0,4,0
"55","AMIEYCL7GQF9L",4,0,0,4,0,0,4,0,0
"56","AMPMTF5IAAMK8",0,0,4,0,0,4,0,0,4
"57","ANNVWKERLZG9A",0,4,0,0,4,0,0,4,0
"58","AOWW3URQNRJ6U",0,0,4,0,0,4,0,0,4
"59","AP4FDDWBJW470",0,4,0,0,4,0,0,4,0
"60","AQ5C03D6O9LK6",4,0,0,4,0,0,4,0,0
"61","ARWF605I7RWM7",0,4,0,0,4,0,0,4,0
"62","ASAAL9165IX44",4,0,0,4,0,0,4,0,0
"63","AWAW665TQQP2F",4,0,0,4,0,0,4,0,0
"64","AX8XE3GEOP5D",0,4,0,0,4,0,0,4,0
"65","AXKTYKCT9NGHS",0,0,4,0,0,4,0,0,4
"66","AYYBMS4XQJ9AP",0,4,0,0,4,0,0,4,0
"67","AZLU5JWFIZVMD",0,4,0,0,4,0,0,4,0
