animal,category
axolotl,unknown
bear,known
bosa,object
butterfly,known
cat,known
chisop,object
cow,known
cuttlefish,unknown
dacker,object
echidna,unknown
eurypterid,unknown
giraffe,known
fish,known
jottle,object
lungfish,unknown
pangolin,unknown
skunk,known
sugarglider,unknown
tapir,unknown
zebra,known
