subject,variable,value
A2VFEDAK5C1E1O,answer_likely_0_how_MO_political,1
A29AKJXQ248KNK,answer_likely_0_how_MO_political,2
A29TQSAJPLXZU7,answer_likely_0_how_MO_political,3
A3QVZ4SZB79D8W,answer_likely_0_how_MO_political,1
A17D6BK59S31BM,answer_likely_0_how_MO_political,2
A3EHDY67QENKPT,answer_likely_0_how_MO_political,2
A1LE6AUI3CJNIT,answer_likely_0_how_MO_political,3
A17K1CHOI773VZ,answer_likely_0_how_MO_political,4
A2YOVBJ9EXAI8W,answer_likely_0_how_MO_political,4
A2GB0RI43KU4Z,answer_likely_0_how_MO_political,3
A3RS7UCO7CQ74R,answer_likely_0_how_MO_political,5
A1GKD3NG1NNHRP,answer_likely_0_how_MO_political,4
A2RMJNF6IPI42F,answer_likely_0_how_MO_political,0
A3VP02KDUZIV0V,answer_likely_0_how_MO_political,3
A9WIOFVRSYW3L,answer_likely_0_how_MO_political,4
A3TCFIPOBRZZB3,answer_likely_0_how_MO_political,5
A2GOYSTIL3LOV1,answer_likely_0_how_MO_political,4
AY5OS6NZWVX22,answer_likely_0_how_MO_political,1
A32U64W0S9PUA3,answer_likely_0_how_MO_political,4
A2VFEDAK5C1E1O,answer_likely_0_where_MO_fido,3
A29AKJXQ248KNK,answer_likely_0_where_MO_fido,4
A29TQSAJPLXZU7,answer_likely_0_where_MO_fido,3
A3QVZ4SZB79D8W,answer_likely_0_where_MO_fido,3
A17D6BK59S31BM,answer_likely_0_where_MO_fido,3
A3EHDY67QENKPT,answer_likely_0_where_MO_fido,1
A1LE6AUI3CJNIT,answer_likely_0_where_MO_fido,5
A17K1CHOI773VZ,answer_likely_0_where_MO_fido,1
A2YOVBJ9EXAI8W,answer_likely_0_where_MO_fido,4
A2GB0RI43KU4Z,answer_likely_0_where_MO_fido,3
A3RS7UCO7CQ74R,answer_likely_0_where_MO_fido,5
A1GKD3NG1NNHRP,answer_likely_0_where_MO_fido,3
A2RMJNF6IPI42F,answer_likely_0_where_MO_fido,2
A3VP02KDUZIV0V,answer_likely_0_where_MO_fido,3
A9WIOFVRSYW3L,answer_likely_0_where_MO_fido,4
A3TCFIPOBRZZB3,answer_likely_0_where_MO_fido,4
A2GOYSTIL3LOV1,answer_likely_0_where_MO_fido,4
AY5OS6NZWVX22,answer_likely_0_where_MO_fido,2
A32U64W0S9PUA3,answer_likely_0_where_MO_fido,4
A2VFEDAK5C1E1O,answer_likely_0_who_MO_vacation,4
A29AKJXQ248KNK,answer_likely_0_who_MO_vacation,3
A29TQSAJPLXZU7,answer_likely_0_who_MO_vacation,3
