"","subject","mod_how_MA","mod_how_MO","mod_how_MS","mod_where_MA","mod_where_MO","mod_where_MS","mod_who_MA","mod_who_MO","mod_who_MS","nomod_how_MA","nomod_how_MO","nomod_how_MS","nomod_where_MA","nomod_where_MO","nomod_where_MS","nomod_who_MA","nomod_who_MO","nomod_who_MS"
"71","A3BXT78QXFC6F3",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"72","A3D3NEQ158WUB0",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"73","A3EHDY67QENKPT",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"74","A3EWC3BN8RU33I",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"75","A3GWRDHAURRNK6",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"76","A3I1W58P6SIV26",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"77","A3IDAO8T75VO3Z",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"78","A3IEGJT83U746S",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"79","A3IRT5NAX14OIT",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"80","A3KC385CZNYEG5",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"81","A3M877E9CGI09C",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"82","A3NVRTN7RC8D0I",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"83","A3PIRKF57QSWMS",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"84","A3QNCW3LR2AVOV",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"85","A3QVZ4SZB79D8W",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"86","A3RS7UCO7CQ74R",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"87","A3TCFIPOBRZZB3",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"88","A3TUCOUVSP9ZGY",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"89","A3UN1F1EOHKKE6",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"90","A3V8C77FN4FLUA",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"91","A3VDG4N48AVYGQ",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"92","A3VP02KDUZIV0V",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"93","A3VTOW7WLPTBRR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"94","A52FUUEDGSZT9",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"95","A6ZAKE3FP8YKY",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"96","A7XAEZTNECKT5",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"97","A9WIOFVRSYW3L",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"98","A9YN0N476F6PR",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"99","AA4KKLIU4C3NY",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"100","AAHZCL4LIPCBQ",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"101","AB5T5XCK2ZD47",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"102","ACON9O9NMFOHE",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"103","AFZKP8TAXAUCR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"104","AG5HAUJJV4OCY",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"105","AG6WV3WODQ7IN",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"106","AH31QLJ57XC8W",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"107","AJM4334V07JDQ",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"108","AK27D3SD6EZX6",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"109","ALQEBL8XKDCWC",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"110","AMIEYCL7GQF9L",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"111","AMPMTF5IAAMK8",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"112","ANNVWKERLZG9A",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"113","AOWW3URQNRJ6U",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"114","AP4FDDWBJW470",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"115","AQ5C03D6O9LK6",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"116","AQEP3H2QADT47",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"117","ARWF605I7RWM7",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"118","ASAAL9165IX44",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"119","AWAW665TQQP2F",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"120","AX8XE3GEOP5D",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"121","AXKTYKCT9NGHS",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"122","AY5OS6NZWVX22",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"123","AYYBMS4XQJ9AP",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"124","AZLU5JWFIZVMD",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
